,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.J01587.1,686,1140,841,1198,670,983,429,617,732
Eucgr.J02292.1,19,12,19,8,17,8,48,0,23
Eucgr.J00517.1,0,0,0,0,0,0,0,0,0
Eucgr.J02416.1,4,25,6,4,3,8,3,5,6
Eucgr.J01527.1,0,0,1,0,0,1,12,6,14
Eucgr.J00579.1,419,564,507,726,679,784,502,364,566
Eucgr.J00806.1,253,78,101,6,12,22,67,80,136
Eucgr.J00645.1,882,631,780,723,621,648,626,510,534
Eucgr.J03200.1,1,0,0,0,1,0,0,1,1
Eucgr.J02394.1,805,1139,1030,1024,804,988,1036,819,1070
Eucgr.J01361.1,343,302,372,400,320,403,555,404,538
Eucgr.J00161.1,85,145,83,185,169,146,264,140,136
Eucgr.J02780.1,0,0,0,0,0,0,0,0,2
Eucgr.J00160.1,174,97,119,66,46,58,91,88,149
Eucgr.J01849.1,116,99,88,293,217,324,119,222,186
Eucgr.J01407.1,0,0,0,0,0,0,0,0,0
Eucgr.J01825.1,0,0,0,0,0,0,0,0,0
Eucgr.J02614.1,71,83,50,124,157,107,188,248,87
Eucgr.J02248.1,189,280,197,279,221,307,214,255,260
Eucgr.J02489.1,123,137,129,148,173,158,98,111,125
Eucgr.J00996.1,0,0,0,0,0,1,0,0,0
Eucgr.J00075.1,19,0,41,4,12,14,0,0,0
Eucgr.J01206.1,1,0,0,1,0,1,2,4,0
Eucgr.J02136.1,127,102,132,86,94,112,466,312,312
Eucgr.J01089.1,5,16,33,95,85,151,220,220,1214
Eucgr.J01263.1,0,0,1,1,2,0,1,12,18
Eucgr.J01354.1,0,0,0,1,0,0,0,0,0
Eucgr.J02833.1,362,392,375,493,300,450,330,336,395
Eucgr.J01933.1,3963,2586,3575,2409,2138,2765,1853,1845,2275
Eucgr.J02719.1,117,670,238,2678,2118,2677,717,4479,7668
Eucgr.J01590.1,97,62,91,103,142,145,380,1591,798
Eucgr.J02206.1,334,394,371,196,189,223,344,278,305
Eucgr.J02601.1,2,0,1,8,9,7,2,3,5
Eucgr.J00937.1,0,0,0,0,0,0,0,0,3
Eucgr.J00949.1,216,258,234,281,191,234,152,136,175
Eucgr.J00987.1,18,2,18,11,11,15,22,27,27
Eucgr.J02596.1,1105,1432,1267,1901,1348,2015,919,950,1001
Eucgr.J00951.1,1,0,0,2,2,4,2,5,0
Eucgr.J01029.1,396,462,415,529,371,463,506,415,451
Eucgr.J02069.1,51,148,54,68,53,75,48,56,55
Eucgr.J02408.1,817,1354,1169,1365,1041,1654,870,1736,1959
Eucgr.J00088.1,7,19,7,9,9,12,7,3,7
Eucgr.J02897.1,0,0,0,0,0,0,0,0,0
Eucgr.J02472.1,72,108,72,161,53,254,290,227,715
Eucgr.J02311.1,392,215,279,99,129,124,356,146,258
Eucgr.J03021.1,0,0,3,1,3,24,165,315,1271
Eucgr.J01923.1,0,2,0,0,0,0,3,0,2
Eucgr.J03064.1,8,12,22,10,10,8,9,10,5
Eucgr.J01562.1,1,0,0,1,0,0,0,0,0
Eucgr.J00939.1,547,267,393,156,189,244,743,648,845
Eucgr.J02089.1,0,0,0,0,0,0,0,0,0
Eucgr.J01749.1,1555,1789,1914,3521,2461,3390,1338,1394,1424
Eucgr.J01981.1,0,0,0,2,1,0,0,0,0
Eucgr.J00404.1,0,0,0,0,0,0,0,0,0
Eucgr.J02241.1,0,0,0,0,0,0,0,0,0
Eucgr.J00342.1,337,354,332,298,283,374,297,224,249
Eucgr.J01930.1,3,0,3,0,2,1,1,2,2
Eucgr.J00481.1,0,0,0,0,0,0,0,0,0
Eucgr.J02962.1,545,704,485,730,462,775,588,587,621
Eucgr.J01012.1,12,20,11,6,11,5,8,3,6
Eucgr.J02860.1,1211,1685,1403,1842,1244,1659,1047,966,1073
Eucgr.J01810.1,5,0,3,35,35,44,10,12,0
Eucgr.J01431.1,2,1,1,0,0,0,5,8,25
Eucgr.J00726.1,265,355,317,287,231,317,348,278,368
Eucgr.J00346.1,0,0,0,0,0,0,1,0,0
Eucgr.J02380.1,3,2,9,3,5,2,0,1,1
Eucgr.J00416.1,827,1260,1004,1516,1013,1272,801,761,944
Eucgr.J00138.1,4,2,3,2,4,8,0,3,5
Eucgr.J00746.1,0,6,2,0,0,2,0,0,1
Eucgr.J00820.1,7695,4375,6908,1065,2425,1445,15518,10674,16304
Eucgr.J01914.1,6,28,15,10,1,3,0,2,2
Eucgr.J01786.1,0,0,0,0,0,0,0,0,0
Eucgr.J02544.1,7,4,9,4,7,3,3,10,4
Eucgr.J01343.1,8,7,8,5,4,9,3,8,3
Eucgr.J00668.1,93,137,122,158,121,200,235,153,279
Eucgr.J01897.1,14,13,5,7,4,15,121,107,62
Eucgr.J01489.1,15,24,18,20,11,15,17,26,13
Eucgr.J03189.1,216,232,752,3773,2073,3288,1057,1772,203
Eucgr.J01578.1,0,0,0,0,0,0,0,0,0
Eucgr.J01493.1,3,11,4,15,13,11,5,20,16
Eucgr.J02786.1,0,0,0,0,0,2,2,0,1
Eucgr.J02603.1,0,0,0,0,0,0,0,0,0
Eucgr.J02810.1,116,102,207,184,108,225,134,73,332
Eucgr.J00590.1,76,42,62,36,44,75,78,83,61
Eucgr.J03176.1,3,7,4,5,19,18,12,15,54
Eucgr.J01139.1,201,61,111,42,62,101,180,131,208
Eucgr.J02335.1,0,0,2,1,0,0,0,0,0
Eucgr.J02210.1,511,811,635,400,165,338,37,50,97
Eucgr.J02180.1,2,3,1,5,0,2,4,0,0
Eucgr.J01382.1,0,0,0,7,8,9,0,20,4
Eucgr.J02572.1,138,125,154,355,242,374,257,185,265
Eucgr.J01445.1,0,0,0,0,0,0,0,0,0
Eucgr.J01195.1,223,247,300,192,143,140,236,206,127
Eucgr.J02982.1,106,146,77,267,233,340,216,207,218
Eucgr.J00136.1,2,0,1,6,5,8,1,5,4
Eucgr.J01257.1,322,1017,631,1311,634,1018,165,219,205
Eucgr.J02275.1,53,43,37,9,10,18,33,38,37
Eucgr.J01419.1,0,0,0,0,0,0,2,1,0
Eucgr.J00927.1,484,486,431,477,452,543,667,683,600
Eucgr.J01492.1,0,0,0,0,0,0,0,0,0
Eucgr.J02920.1,0,0,0,0,0,0,0,0,0
Eucgr.J00595.1,496,691,519,666,543,613,569,550,583
Eucgr.J02454.1,7,0,2,3,0,1,6,5,22
Eucgr.J00543.1,341,342,397,309,226,354,283,385,421
Eucgr.J00852.1,453,698,559,1105,816,964,513,439,557
Eucgr.J00053.1,6,3,2,1,0,1,2,3,9
Eucgr.J00840.1,678,924,695,778,581,734,750,802,865
Eucgr.J01632.1,0,0,0,0,0,0,0,0,4
Eucgr.J02398.1,142,106,70,127,78,177,137,111,145
Eucgr.J00468.1,2185,911,1420,610,1055,824,1373,1422,1955
Eucgr.J01944.1,243,257,253,227,178,205,251,330,151
Eucgr.J02995.1,233,281,262,350,215,335,201,248,256
Eucgr.J02360.1,0,0,0,1,0,0,0,0,2
Eucgr.J02079.1,4,5,4,0,2,3,0,5,2
Eucgr.J01031.1,0,0,0,0,0,0,0,0,0
Eucgr.J02506.1,81,120,110,102,77,86,76,106,124
Eucgr.J00881.1,407,505,428,614,477,641,318,370,392
Eucgr.J00913.1,0,0,0,0,0,0,0,0,0
Eucgr.J00969.1,1188,425,1083,418,392,1071,345,588,462
Eucgr.J00450.1,0,0,0,0,0,0,0,0,0
Eucgr.J02103.1,0,0,0,0,0,0,0,0,0
Eucgr.J02662.1,12,2,17,1,3,1,10,0,4
Eucgr.J00737.1,633,680,592,432,368,414,540,472,542
Eucgr.J02235.1,278,383,369,410,342,456,289,288,350
Eucgr.J00296.1,0,0,0,0,0,0,0,0,0
Eucgr.J01067.1,115,142,121,213,108,240,477,293,369
Eucgr.J02550.1,0,0,0,0,0,0,0,0,3
Eucgr.J00859.1,2562,3557,3374,4258,3103,3773,2300,2570,2706
Eucgr.J02245.1,724,5318,439,488,417,391,5013,387,402
Eucgr.J00098.1,0,0,0,0,0,0,0,0,0
Eucgr.J00573.1,888,1055,858,531,411,503,1168,832,877
Eucgr.J03050.1,143,102,105,84,109,133,145,163,175
Eucgr.J02385.1,1,7,3,6,9,4,0,5,2
Eucgr.J01905.1,458,394,442,432,438,500,399,463,402
Eucgr.J02599.1,828,878,930,789,761,934,763,689,637
Eucgr.J00402.1,0,0,0,0,43,2,0,1,11
Eucgr.J00357.1,0,1,9,0,2,1,0,0,3
Eucgr.J00884.1,9,16,7,7,10,21,31,10,61
Eucgr.J00381.1,395,261,436,578,493,592,243,128,313
Eucgr.J03117.1,275,135,202,132,227,173,231,325,432
Eucgr.J03168.1,231,362,267,358,254,392,206,163,259
Eucgr.J02176.1,92,74,97,102,91,128,164,106,126
Eucgr.J01396.1,0,0,0,0,0,0,0,0,0
Eucgr.J00890.1,34,70,53,20,34,32,46,18,32
Eucgr.J02543.1,9,6,22,1,3,2,9,15,14
Eucgr.J00976.1,1552,3004,2532,2562,1873,2559,926,1803,1543
Eucgr.J02246.1,1162,1514,1386,1825,1283,1921,1425,1356,1511
Eucgr.J01227.1,27,12,22,11,5,18,15,7,17
Eucgr.J00945.1,184,227,195,114,126,198,351,224,232
Eucgr.J01485.1,37,15,40,0,0,0,0,0,0
Eucgr.J03087.1,8736,12030,8576,7744,5531,7551,4925,4561,5359
Eucgr.J01775.1,1,0,0,0,0,0,0,0,0
Eucgr.J01124.1,149,196,167,186,174,204,276,284,393
Eucgr.J02217.1,0,0,0,0,0,0,0,0,0
Eucgr.J03019.1,0,1,2,1,1,2,1,2,12
Eucgr.J02452.1,7,7,9,4,26,0,5,10,19
Eucgr.J01955.1,269,348,270,285,192,311,322,235,298
Eucgr.J03137.1,794,1070,866,1218,929,1172,717,732,780
Eucgr.J03091.1,358,518,428,505,408,517,87,154,216
Eucgr.J00724.1,180,182,162,121,147,194,286,196,289
Eucgr.J03056.1,23,15,18,22,16,26,34,32,48
Eucgr.J00445.1,138,220,179,253,207,266,140,126,253
Eucgr.J00128.1,360,456,468,52,174,94,327,196,147
Eucgr.J02065.1,5,6,3,4,3,2,11,11,7
Eucgr.J00040.1,2085,2506,2264,2052,1531,2002,1261,1170,1620
Eucgr.J03108.1,15,1,8,0,0,0,10,2,21
Eucgr.J00257.1,0,0,0,0,0,0,0,0,0
Eucgr.J00709.1,9,12,17,23,18,35,29,35,53
Eucgr.J00632.1,120,242,237,10,50,22,6,7,13
Eucgr.J03002.1,0,3,0,0,0,0,0,0,0
Eucgr.J00183.1,520,393,402,242,250,270,413,387,532
Eucgr.J01618.1,0,0,0,1,0,0,3,0,1
Eucgr.J01052.1,74,43,81,57,179,199,691,1149,1049
Eucgr.J02490.1,0,0,0,0,0,0,0,0,0
Eucgr.J02518.1,119,490,218,1858,1402,2462,52,72,58
Eucgr.J02084.1,120,57,78,34,25,28,93,38,143
Eucgr.J02371.1,0,0,0,0,0,0,0,0,0
Eucgr.J01040.1,0,0,0,0,0,0,0,0,0
Eucgr.J00476.1,0,0,0,0,0,0,2,0,0
Eucgr.J00597.1,12,22,9,12,8,16,9,10,6
Eucgr.J02588.1,15,17,18,14,11,18,15,14,8
Eucgr.J03083.1,0,0,0,0,1,0,0,1,0
Eucgr.J00237.1,7724,9839,9550,6976,6626,10799,25218,26007,27422
Eucgr.J01181.1,3347,3191,3086,1623,1910,2005,2435,2019,3619
Eucgr.J02070.1,2,4,3,4,4,9,10,7,6
Eucgr.J01625.1,1209,1356,1284,1236,1048,1226,712,844,1081
Eucgr.J01689.1,2,8,6,4,9,3,12,4,0
Eucgr.J01497.1,257,410,266,349,239,359,267,234,278
Eucgr.J02177.1,132,190,143,172,145,214,158,167,237
Eucgr.J00021.1,6,7,7,12,1,12,1,17,8
Eucgr.J00268.1,587,843,649,818,503,806,398,347,507
Eucgr.J02480.1,24,23,21,29,25,35,31,27,30
Eucgr.J00896.1,19,17,20,8,8,8,3,9,17
Eucgr.J00275.1,15,16,25,25,17,16,38,31,30
Eucgr.J01710.1,10,0,1,0,0,0,5,2,1
Eucgr.J02003.1,5306,8964,6281,8250,5095,7688,597,528,401
Eucgr.J01080.1,0,0,0,0,0,0,0,0,0
Eucgr.J02959.1,4,5,1,3,0,2,7,1,1
Eucgr.J00024.1,516,657,535,855,557,667,535,618,567
Eucgr.J02834.1,871,1088,879,692,703,795,1057,1155,1091
Eucgr.J02168.1,244,104,255,139,200,201,394,368,422
Eucgr.J02758.1,7,11,3,0,2,0,22,6,4
Eucgr.J01751.1,314,246,251,284,255,336,284,211,305
Eucgr.J01267.1,0,0,0,0,0,0,0,0,0
Eucgr.J02849.1,917,1024,942,923,701,897,988,849,1005
Eucgr.J01692.1,0,0,1,1,3,1,1,0,0
Eucgr.J01836.1,0,0,0,0,0,0,0,0,0
Eucgr.J00775.1,0,0,0,0,0,0,0,0,0
Eucgr.J02001.1,2,0,0,1,2,0,2,1,8
Eucgr.J00474.1,0,0,0,0,0,0,0,0,0
Eucgr.J02196.1,2,3,2,1,0,0,0,0,0
Eucgr.J02803.1,17,55,17,14,12,26,16,3,7
Eucgr.J00533.1,65,61,47,56,46,51,50,65,79
Eucgr.J01702.1,410,465,467,593,457,611,393,481,658
Eucgr.J02121.1,28,41,34,29,21,29,39,74,56
Eucgr.J01185.1,1043,1054,1045,862,797,870,687,695,743
Eucgr.J00140.1,0,0,1,0,0,0,0,0,0
Eucgr.J01415.1,6,20,15,12,15,5,0,1,4
Eucgr.J02768.1,6,49,4,0,2,1,26,71,6
Eucgr.J02011.1,25,494,73,1271,507,1042,125,1427,1516
Eucgr.J00291.1,59,82,78,74,65,89,171,148,142
Eucgr.J03122.1,54,6,69,121,126,104,57,6,18
Eucgr.J01664.1,232,341,359,252,236,363,28,24,34
Eucgr.J02674.1,1,0,0,1,0,0,0,0,2
Eucgr.J03159.1,739,436,551,364,510,636,698,517,811
Eucgr.J01014.1,78,113,83,67,69,76,198,203,254
Eucgr.J00523.1,306,320,274,221,233,233,285,271,315
Eucgr.J02827.1,13,17,14,23,21,10,49,19,28
Eucgr.J00624.1,1019,1392,1165,1585,1161,1454,1064,1031,1136
Eucgr.J02889.1,6,3,3,8,9,10,2,9,12
Eucgr.J01690.1,3,56,7,3,5,4,57,6,140
Eucgr.J00909.1,1,0,0,0,0,2,0,0,0
Eucgr.J01132.1,0,0,0,0,0,0,0,0,0
Eucgr.J01027.1,353,313,392,247,232,363,390,439,408
Eucgr.J02701.1,6,2,4,3,1,13,7,2,9
Eucgr.J00642.1,2,1,4,0,2,1,0,0,0
Eucgr.J02813.1,2,2,6,0,0,0,14,3,36
Eucgr.J01169.1,201,76,210,187,137,212,53,67,80
Eucgr.J02322.1,0,1,2,0,1,0,1,0,0
Eucgr.J00019.1,328,248,373,222,216,250,445,393,837
Eucgr.J02866.1,462,313,370,295,338,362,323,321,421
Eucgr.J01137.1,1210,1382,1195,964,807,1064,1175,1038,1190
Eucgr.J02051.1,0,5,3,2,6,0,2,0,2
Eucgr.J00484.1,9,9,10,0,0,0,36,6,0
Eucgr.J02026.1,0,0,0,0,0,0,0,0,0
Eucgr.J02284.1,27,34,32,20,10,18,13,1,1
Eucgr.J01714.1,34,5,20,3,10,12,7,15,9
Eucgr.J01873.1,1,0,0,4,5,5,0,57,0
Eucgr.J00755.1,290,253,446,127,122,254,315,607,467
Eucgr.J01364.1,1364,1915,1546,1836,1366,1741,1321,1200,1449
Eucgr.J00758.1,415,514,445,705,478,648,606,469,681
Eucgr.J02565.1,566,906,919,2072,1738,1911,731,865,715
Eucgr.J02030.1,58685,28865,48501,29971,38203,38117,49950,55161,65246
Eucgr.J02429.1,0,0,0,0,0,0,0,0,0
Eucgr.J02254.1,7,3,3,3,2,13,1,5,6
Eucgr.J01120.1,39,44,47,26,35,44,36,47,7
Eucgr.J00878.1,0,0,0,0,0,0,0,0,0
Eucgr.J02890.1,198,111,176,141,144,153,138,143,98
Eucgr.J00684.1,0,1,0,0,0,0,0,0,0
Eucgr.J00149.1,0,0,0,0,0,0,0,0,0
Eucgr.J00863.1,1745,2247,2025,3180,1832,2839,1804,1362,1656
Eucgr.J02904.1,0,0,0,0,0,0,0,0,0
Eucgr.J00749.1,0,0,0,0,0,0,0,0,0
Eucgr.J02892.1,0,0,0,7,5,9,3,26,8
Eucgr.J01679.1,1,1,0,3,0,1,1,12,1
Eucgr.J02846.1,140,220,164,215,175,243,197,227,253
Eucgr.J01778.1,197,143,162,164,133,201,281,249,347
Eucgr.J01854.1,6,2,10,9,8,9,0,1,0
Eucgr.J01744.1,679,868,642,499,419,480,941,669,677
Eucgr.J01697.1,323,345,228,364,318,374,419,334,404
Eucgr.J02435.1,26,69,16,43,43,44,19,45,192
Eucgr.J02515.1,332,388,410,407,306,464,271,241,316
Eucgr.J00565.1,0,0,0,0,0,0,0,0,0
Eucgr.J01644.1,1196,1478,1501,1741,1168,1419,1881,1558,1795
Eucgr.J00409.1,596,951,717,1325,734,898,324,216,226
Eucgr.J01237.1,0,0,0,0,0,0,0,0,0
Eucgr.J03141.1,298,159,182,171,238,248,461,289,220
Eucgr.J01971.1,0,0,0,0,0,0,0,0,0
Eucgr.J02139.1,744,789,652,472,794,690,1353,820,884
Eucgr.J00315.1,222,305,228,305,248,339,304,231,365
Eucgr.J01094.1,0,0,0,0,0,0,0,0,0
Eucgr.J03067.1,29,20,26,3,4,12,15,18,23
Eucgr.J00740.1,2,0,0,0,1,0,7,0,2
Eucgr.J00618.1,1501,1673,1703,1703,1402,1775,2012,2160,1670
Eucgr.J02431.1,0,0,0,0,0,0,0,0,0
Eucgr.J00934.1,264,248,265,211,187,286,316,302,325
Eucgr.J02401.1,1096,175,656,203,311,319,552,587,204
Eucgr.J01977.1,35,4,22,30,36,27,9,43,6
Eucgr.J00227.1,1548,1486,1424,1164,910,866,631,420,303
Eucgr.J03130.1,76,84,56,72,37,68,142,140,154
Eucgr.J01091.1,3,5,0,5,7,11,1,0,1
Eucgr.J00389.1,584,654,613,613,545,650,610,460,491
Eucgr.J00847.1,0,0,0,0,0,0,0,0,0
Eucgr.J02553.1,10,17,4,0,6,0,0,2,1
Eucgr.J01842.1,0,6,3,0,2,1,1,0,1
Eucgr.J00043.1,76,39,75,93,122,128,47,132,82
Eucgr.J01788.1,69,108,33,289,182,200,6,10,26
Eucgr.J02349.1,506,425,442,211,291,390,604,503,562
Eucgr.J00457.1,184,195,195,137,113,164,184,201,282
Eucgr.J01357.1,25,73,34,168,70,178,11,25,65
Eucgr.J02331.1,527,302,407,264,344,425,383,516,484
Eucgr.J00031.1,432,484,567,650,440,624,599,617,706
Eucgr.J01846.1,189,72,144,120,215,228,700,527,1323
Eucgr.J00003.1,1,1,1,1,0,1,0,0,2
Eucgr.J00496.1,12,33,19,28,20,33,40,43,28
Eucgr.J01962.1,0,0,0,0,0,0,0,0,0
Eucgr.J01659.1,390,499,411,393,272,418,622,390,459
Eucgr.J01886.1,0,0,0,0,0,0,0,0,0
Eucgr.J00085.1,4392,6057,5460,6132,4717,6287,2443,3935,4410
Eucgr.J02477.1,18,14,23,10,12,10,27,31,16
Eucgr.J00603.1,0,0,0,0,0,0,0,0,5
Eucgr.J02937.1,8,10,4,9,6,5,5,6,3
Eucgr.J02855.1,413,570,451,228,265,271,745,958,774
Eucgr.J02302.1,813,688,603,1808,1525,1835,1207,1779,2932
Eucgr.J01826.1,22,185,40,4,15,4,14,10,18
Eucgr.J01404.1,0,0,0,2,1,0,0,0,0
Eucgr.J01792.1,581,607,607,534,429,617,642,739,780
Eucgr.J00961.1,0,0,0,0,0,0,8,3,10
Eucgr.J00308.1,14,8,26,8,8,4,24,12,31
Eucgr.J01829.1,33,98,18,11,20,8,52,94,152
Eucgr.J01084.1,667,987,718,775,661,880,571,591,620
Eucgr.J02319.1,13,7,6,0,1,3,9,0,0
Eucgr.J00991.1,291,369,267,436,369,399,505,636,535
Eucgr.J02501.1,797,524,697,397,452,425,329,743,469
Eucgr.J01540.1,6,9,3,10,7,16,5,5,11
Eucgr.J02270.1,283,493,303,314,242,407,380,278,612
Eucgr.J00433.1,3,2,0,6,11,4,25,19,32
Eucgr.J01800.1,406,697,634,611,494,803,733,1066,1102
Eucgr.J02209.1,18,84,21,16,12,19,12,3,6
Eucgr.J01372.1,1373,1924,1452,2499,1762,2165,1122,1176,1531
Eucgr.J02927.1,0,5,1,3,19,2,45,173,14
Eucgr.J03126.1,427,390,509,539,483,529,388,631,265
Eucgr.J03013.1,3,5,16,0,0,1,31,60,83
Eucgr.J03148.1,1,0,0,0,0,0,0,0,0
Eucgr.J01351.1,7,24,22,12,6,7,39,34,20
Eucgr.J01053.1,193,94,100,37,69,48,145,132,113
Eucgr.J01611.1,23,13,20,133,73,184,1,8,248
Eucgr.J00326.1,5676,11158,7457,24708,16342,21077,3756,4786,4629
Eucgr.J01178.1,169,155,213,44,55,92,280,507,145
Eucgr.J00902.1,482,444,462,281,251,305,316,319,414
Eucgr.J02727.1,0,0,0,0,0,0,0,0,27
Eucgr.J02990.1,42,71,48,34,45,45,96,84,141
Eucgr.J01973.1,22,38,50,89,54,89,13,21,3
Eucgr.J00323.1,16,9,20,21,33,99,269,616,295
Eucgr.J01061.1,188,102,135,52,85,101,527,639,832
Eucgr.J02585.1,31,17,26,16,25,36,78,132,33
Eucgr.J01512.1,540,729,575,758,521,658,709,544,483
Eucgr.J02297.1,46,19,29,127,101,240,26,405,321
Eucgr.J01754.1,4,0,2,0,0,0,1,0,0
Eucgr.J00674.1,103,130,105,132,120,131,131,160,180
Eucgr.J00530.1,16,2,37,76,85,105,46,23,14
Eucgr.J02374.1,0,0,0,0,0,0,0,0,0
Eucgr.J03096.1,0,0,0,0,0,0,0,0,0
Eucgr.J01043.1,1651,1443,1574,1123,871,1252,1429,1054,1165
Eucgr.J02049.1,76,71,54,41,53,67,149,201,121
Eucgr.J02350.1,1,0,0,0,0,0,0,0,0
Eucgr.J02873.1,156,26,88,22,33,61,74,49,53
Eucgr.J01916.1,27,8,12,10,12,8,23,26,0
Eucgr.J00955.1,280,241,266,219,212,323,599,307,425
Eucgr.J01651.1,0,0,0,0,0,0,0,0,0
Eucgr.J02107.1,0,0,0,0,0,0,0,0,0
Eucgr.J01460.1,1087,1395,1269,1060,925,1146,965,939,1215
Eucgr.J01060.1,12,3,3,1,12,1,99,17,20
Eucgr.J03027.1,0,0,0,0,0,0,0,0,0
Eucgr.J00611.1,34,34,93,42,85,56,39,57,86
Eucgr.J01412.1,196,243,249,291,232,255,360,460,377
Eucgr.J00587.1,638,815,687,456,385,503,653,524,885
Eucgr.J01599.1,1621,875,1324,243,530,450,1769,1458,1479
Eucgr.J00159.1,17,16,33,3,8,1,26,17,11
Eucgr.J02415.1,0,28,0,0,0,0,0,1,0
Eucgr.J03025.1,188,181,172,62,49,67,100,124,166
Eucgr.J01807.1,102,126,111,89,79,100,111,54,24
Eucgr.J01002.1,805,1167,834,1100,743,907,875,693,719
Eucgr.J02698.1,0,19,0,2,4,3,0,7,4
Eucgr.J01725.1,48,29,32,13,15,17,67,30,27
Eucgr.J01500.1,0,0,0,1,1,0,0,2,0
Eucgr.J00282.1,513,550,638,652,607,665,521,804,748
Eucgr.J01575.1,0,0,0,1,0,5,4,0,0
Eucgr.J01166.1,2,0,3,0,0,0,0,2,2
Eucgr.J00817.1,27,0,16,0,5,1,14,5,18
Eucgr.J01475.1,1,0,0,0,0,0,0,0,0
Eucgr.J02364.1,0,0,0,0,0,0,0,0,0
Eucgr.J02201.1,7,2,1,8,10,10,2,20,3
Eucgr.J00812.1,0,0,0,0,0,0,0,0,0
Eucgr.J00398.1,38,21,30,71,44,108,81,93,95
Eucgr.J01672.1,4,4,5,6,3,4,6,18,29
Eucgr.J01187.1,11,15,12,6,12,8,10,12,7
Eucgr.J01129.1,13,14,4,60,34,75,23,53,1
Eucgr.J02015.1,161,153,127,23,28,41,59,53,73
Eucgr.J02470.1,3,0,2,0,4,8,0,0,0
Eucgr.J02466.1,0,0,0,0,0,0,0,0,1
Eucgr.J00111.1,415,540,464,542,378,564,510,387,583
Eucgr.J02879.1,0,0,0,0,0,0,0,0,1
Eucgr.J02305.1,703,741,776,929,641,959,708,668,892
Eucgr.J01114.1,10,8,10,16,10,21,147,297,95
Eucgr.J01523.1,8,3,3,2,6,3,4,3,11
Eucgr.J01077.1,22,19,24,0,10,1,21,4,7
Eucgr.J00763.1,85,76,80,69,62,66,59,52,47
Eucgr.J01520.1,0,0,1,1,0,0,0,0,0
Eucgr.J01682.1,0,2,0,0,0,0,0,0,1
Eucgr.J01424.1,186,196,174,172,163,170,523,443,312
Eucgr.J02617.1,65,64,59,61,58,101,71,45,87
Eucgr.J01477.1,3215,3988,3769,4273,3472,4271,2623,2741,2888
Eucgr.J00832.1,0,0,0,0,0,0,0,0,0
Eucgr.J02060.1,218,306,235,313,236,382,203,269,367
Eucgr.J01429.1,778,956,922,930,659,919,940,700,744
Eucgr.J00362.1,20,23,27,224,111,331,297,575,2535
Eucgr.J02127.1,0,0,0,0,0,0,0,0,0
Eucgr.J02863.1,47,93,44,36,35,60,235,98,79
Eucgr.J02446.1,261,342,163,32,90,81,424,241,1059
Eucgr.J01509.1,1076,949,1223,1307,1000,1729,1051,997,1317
Eucgr.J00487.1,528,812,553,755,472,721,581,582,822
Eucgr.J02229.1,17,11,11,5,10,15,30,21,22
Eucgr.J00194.1,0,4,0,0,0,0,0,0,0
Eucgr.J02977.1,51,44,44,3,4,11,19,15,15
Eucgr.J00375.1,1,0,0,1,6,9,0,4,0
Eucgr.J01210.1,301,366,381,158,142,163,198,203,281
Eucgr.J01274.1,8,5,13,8,10,13,14,0,3
Eucgr.J01070.1,3,3,4,0,6,4,12,1,0
Eucgr.J01721.1,6,5,3,1,16,19,70,128,14
Eucgr.J02764.1,0,0,0,0,0,0,0,0,0
Eucgr.J02344.1,0,0,0,0,0,0,0,0,0
Eucgr.J03015.1,0,0,0,0,0,0,0,0,0
Eucgr.J01516.1,0,0,0,0,0,0,0,0,0
Eucgr.J02261.1,719,1842,1069,2013,1387,1582,2065,2089,2857
Eucgr.J00210.1,208,221,213,226,196,282,333,353,374
Eucgr.J00144.1,0,0,0,0,0,0,0,0,0
Eucgr.J00537.1,1,2,1,0,2,0,1,1,4
Eucgr.J00664.1,76,84,70,75,45,74,39,46,47
Eucgr.J01408.1,360,408,385,532,416,532,543,380,483
Eucgr.J01668.1,11,0,2,0,1,0,0,0,2
Eucgr.J02232.1,70,63,77,52,47,56,40,39,77
Eucgr.J00990.1,0,0,0,0,0,0,0,0,0
Eucgr.J02419.1,1,0,1,1,1,0,3,3,0
Eucgr.J00292.1,16976,21764,17895,14589,12687,13431,24451,16756,16202
Eucgr.J03185.1,40,34,36,25,21,39,51,51,49
Eucgr.J02807.1,926,853,931,1024,1207,1021,1062,918,840
Eucgr.J00207.1,15,27,31,36,33,25,32,19,37
Eucgr.J02389.1,49,54,39,14,17,33,84,65,48
Eucgr.J01951.1,220,233,264,237,212,259,237,197,237
Eucgr.J01219.1,735,182,348,100,490,200,856,705,904
Eucgr.J03127.1,75,168,89,58,31,32,14,25,5
Eucgr.J02110.1,839,1972,1046,2384,1323,2066,128,182,156
Eucgr.J02484.1,11,4,26,15,2,184,12,124,508
Eucgr.J00479.1,497,684,439,582,463,634,656,503,626
Eucgr.J00066.1,10,11,5,23,8,11,7,7,5
Eucgr.J02960.1,73,104,96,49,49,68,72,195,152
Eucgr.J01605.1,49,7,21,9,56,27,203,156,310
Eucgr.J00102.1,504,530,338,649,449,749,266,199,161
Eucgr.J00855.1,323,365,288,341,279,342,348,284,320
Eucgr.J01652.1,0,0,1,2,3,1,0,7,0
Eucgr.J01030.1,143,131,144,122,153,205,215,196,203
